Rank,Team,Matches Played,Wins,Draws,Losses,Goals For,Goals Against
1, Brazil,104,70,17,17,221,102
2, Germany,106,66,20,20,224,121
3, Italy,83,45,21,17,128,77
4, Argentina,77,42,14,21,131,84
5, Spain,59,29,12,18,92,66
6, England,62,26,20,16,79,56
7, France,59,28,12,19,106,71
8, Netherlands,50,27,12,11,86,48
9, Uruguay,51,20,12,19,80,71
10, Sweden,46,16,13,17,74,69
11, Russia,40,17,8,15,66,47
12, Serbia,43,17,8,18,64,59
13, Mexico,53,14,14,25,57,92
14, Belgium,41,14,9,18,52,66
15, Poland,31,15,5,11,44,40
16, Hungary,32,15,3,14,87,57
17, Portugal,26,13,4,9,43,29
18, Czech Republic,33,12,5,16,47,49
19, Austria,29,12,4,13,43,47
20, Chile,33,11,7,15,40,49
21, Switzerland,33,11,6,16,45,59
22, Paraguay,27,7,10,10,30,38
23, USA,33,8,6,19,37,62
24, Romania,21,8,5,8,30,32
25, Denmark,16,8,2,6,27,24
26, Korea Republic,31,5,9,17,31,67
27, Croatia,16,7,2,7,21,17
28, Colombia,18,7,2,9,26,27
29, Costa Rica,15,5,4,6,17,23
30, Scotland,23,4,7,12,25,41
28, Cameroon,23,4,7,12,18,43
32, Nigeria,18,5,3,10,20,26
33, Bulgaria,26,3,8,15,22,53
34, Turkey,10,5,1,4,20,17
35, Japan,17,4,4,9,14,22
36, Ghana,12,4,3,5,13,16
37, Peru,15,4,3,8,19,31
38, Republic of Ireland,13,2,8,3,10,10
39,Northern Ireland,13,3,5,5,13,23
40, Ecuador,10,4,1,5,10,11
41, Algeria,13,3,3,7,13,19
42, Ivory Coast,9,3,1,5,13,14
43,South Africa,9,2,4,3,11,16
44, Morocco,13,2,4,7,12,18
45, Norway,8,2,3,3,7,8
46, Australia,13,2,3,8,11,26
47, Senegal,5,2,2,1,7,6
48, German DR,6,2,2,2,5,5
49,Greece,10,2,2,6,5,20
50,Saudi Arabia,13,2,2,9,9,32
51, Ukraine,5,2,1,2,5,7
52, Tunisia,12,1,4,7,8,17
53, Wales,5,1,3,1,4,4
54, Iran,12,1,3,8,7,22
55, Cuba,3,1,1,1,5,12
56, Slovakia,4,1,1,2,5,7
57, Slovenia,6,1,1,4,5,10
58,Korea DPR,7,1,1,5,6,21
59,Bosnia and Herzegovina,3,1,0,2,4,4
60, Jamaica,3,1,0,2,3,9
61, New Zealand,6,0,3,3,4,14
62, Honduras,9,0,3,6,3,14
63, Angola,3,0,2,1,1,2
64, Israel,3,0,2,1,1,3
65, Egypt,4,0,2,2,3,6
66, Kuwait,3,0,1,2,2,6
67, Trinidad and Tobago,3,0,1,2,0,4
68, Bolivia,6,0,1,5,1,20
69, Iraq,3,0,0,3,1,4
70, Togo,3,0,0,3,1,6
71, Canada,3,0,0,3,0,5
72, Indonesia,1,0,0,1,0,6
73,United Arab Emirates,3,0,0,3,2,11
74, China PR,3,0,0,3,0,9
75, Haiti,3,0,0,3,2,14
76, Congo DR,3,0,0,3,0,14
77, El Salvador,6,0,0,6,1,22
